Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
 on 09/22/10 00:00 AM (PDT),alambra ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),06 R/T AWD," What an unbelievable machine. I have never driven anything like it. Perfectly engineered, meticulously designed. Simply perfect. It's time for Toyota to stop relentlessly pursuing perfection. Because Dodge got there first with the magnum rt. The power is unbelievable. Handling outstanding. And comfort is second to none. I've been a mustang owner and lover for the past 15 years. But now, after driving this magnum hemi for less than a week, I'm in love with it. With 82k miles it feels as if it just rolled off the assembly line and into my garage. Simply amazing automobile. ",4.875
 on 08/23/10 14:26 PM (PDT),Joel ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Proud of my Magnum," Man, this thing is huge - at 4500 lbs it weighs as much my wife's mininvan! And, it drives like it, too - not exactly ""agile."" I would have never payed $35,000 for a new one, but for $13,000 w/65,000 miles I think it was a steal, and it's one of the coolest looking cars ever. Doesn't feel as fast as you might think it would, and gas mileage still not good even w/cylinder management. But, every time I look at it or smash the gas, it makes me smile. Oh, and it'll hold quite a bit of crap, too.",4.375
 on 07/17/10 07:47 AM (PDT),Jnet_2006 ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),2006 Dodge Magnum SE," I am very happy with my magnum. I was looking a car with a lot of room. My magnum is a car with the space of a SUV. It has the small V6 so the gas mileage is not all that bad. I would of never got a SUV with 51,000 miles for the great price I paid for my car. My 2006 Magnum is like new. ",4.875
 on 04/29/10 07:49 AM (PDT),knowles ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),2006 SE 2.7," Love the style. Mine has color matched 22"" chrome wheels...had a side wall puncture. Can't replace just one tire and had to go to several places to find a good tire in stock since I did not want to wait to order tires. Cost for 2 was pricey but that has nothing to do with the car. Also, to anyone thinking about beefing up the look with big tires and rims, okay for around town but you lose some of the quality in the ride. Have tried to figure out why but no one can give me an answer. Non the less, with the color coordinated rims (car is metallic red) it's an eye catcher. No mechanical problems. It's a 2006 SE 2.7 with 40,000. I wasn't looking to win a race and don't want a gas hog.",4.75
 on 07/01/09 07:58 AM (PDT),ACM ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Satisfied in PA with black R/T AWD," Traved to Michigan from PA to by this car used with 28,000 on it.Downsized from a 01 AWD Towne and Country Limited.This car is fast without a doubt and functional to boot. I have hauled my 20' extension ladder and  wheelbarrow in the back with the seats folded down. More than enough room for the dog. Had to replace both outer tie rods(under warranty) and o2 sensor (warranty ran out) but still happy with the vehicle. Will add roof rack.Great in the snow with snow tires as I have owned 4 wheel drive and AWD before.Got to have it here in this area. Have to wait and see how it holds up but so far so good.",4.375
 on 06/21/09 19:53 PM (PDT),Greg L. ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Fun & quality," This is a very large car that handles like a sports car.  Corners flat, breaks straight, very comfortable ride and considering the too small engine, it has good acceleration.  It does NOT like to pull a trailer, but if you're reasonable it's okay with that too. The drivers seat is far too narrow, I'm a big guy and have to find just the right spot to get comfortable.  Some people don't like the sparten interior, but I like the design.  However, a little less of a plastic look would be nice.   The exterior design is outstanding and there are lots of storage pockets and nooks and crannies.  The standard tires are just adequate, but in Canada you really do need snow tires for winter safety.",4.5
 on 06/07/09 02:01 AM (PDT),Dad'd Wagon - 33k m ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Magnum RT/AWD after 33500 Miles ," Had my Maggie now for 28 months and 33,500 miles.  Used Royal Purple since beginning.  CAR has been the most reliable , fun , trouble free car I have ever had.  Still sounds, feels, drives as I took it home.  No issues what so ever. Very pleased that we own a car that was discontinued also.... So what.. The AWD system I have never felt safer behind the wheel of any 4x4.  She is a tank and built well.. Keeping her forever... ",4.875
 on 01/07/09 12:55 PM (PST),baycity ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Awesome," I traded in my 3rd Yukon Denali 3 years ago for this car and I love it. I didn't need a big SUV, but I still needed the use of a utility vehicle for my business, kids and dogs. This car is great.  I average 20mpg with the 5.7 Hemi.  I can have my cake and eat it too.  I leased the car back in 2006 and just thought I would lease or buy another car when my time was up, but Chrysler sent me an offer I couldn't refuse. If I buy the car at the end of the lease, Chrysler will take a substantial amount off the residual buyout amount in the contract, so Iv'e decided to buy the car. 3 years and 57K miles later I haven't had any problems except with the navi which is a minor repair hopefully.",4.875
 on 01/03/09 19:17 PM (PST),firetech ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),One of the best cars I've ever had," I needed to replace my aging and worn out Volvo 850 wagon. We are a family of 5 including two teenagers, one who is 6 feet tall. I needed a roomy car, that actually had legroom in the rear seat for my son. Short of buying a limo the Dodge LX cars are one of the only ones that fit the bill. I also wanted power and safety in the way of front and side air bags, trac control etc, etc. This car has it all in spades. I set out to but the 6cyl SXT but couldn't pass up the R/T when it crossed my tracks. If you are sensible on the throttle the R/T's fuel mileage is almost as good as the 3.5 SXT. My advice is if you have a choice, buy the R/T with the 5.7, it's way more fun and still decent on fuel.",4.75
 on 09/05/08 19:43 PM (PDT),MikeInMass ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"What to expect at 80,000 miles"," I bought my '06 SXT RWD used in Nov. '06 with 13k miles.  It now has nearly 81k miles.  Overall, it's been very reliable...roomy, comfortable, fast, no rattles, and decent gas mileage (22 mpg avg. in mixed highway and city gridlock). The RWD has only been a problem once, in a very heavy snow. The front brake rotors were replaced at 38k, and will need to be replaced again soon.  The original tires lasted to 71k. At approx. 75k, a rocker arm broke, a $500 fix.  The mechanic says it's common, but not frequent, on the 3.5 liter motor.  Other than that, just oil changes and tire rotation.  I love the styling of the car, too bad it's been discontinued.  Everyone who rides in it loves it!",4.625
 on 08/15/08 09:20 AM (PDT),R. Guimond ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Value Magnum, We bought the base Magnum back in July 05 when my wife totaled her PT Cruiser. This car is a great driving car and we get 24MPG overall with the 2.7 liter engine.  Mileage is very comparable to the many small SUVs we were looking at before we decided to buy our Magnum.  The 2.7L engine is lively and responsive and we've experienced no problems mechanically.,4.125
 on 07/02/08 08:43 AM (PDT),CMW ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),What else do you need?," I traded in my beloved Avalanche on this black pearl magnum with the 18"" nice rims due to my wife not needing a huge vehicle anymore. One test drive, and  found myself searching the globe for the Magnum I wanted. My wife begged me not to get rid of the Avalanche, but after a week of driving the Magnum, she hasn't looked back.",4.875
 on 06/10/08 08:27 AM (PDT),Dandeman ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Grand Dad's Hot Rod, This Inferno Red number turns the heads of young and old. This is not your ordinary grandad's wagon.,4.875
 on 05/14/08 14:25 PM (PDT),Harry ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),inequity," Bought my magnum last year for $27,500. Paid down loan to $22,500 today it's worth $11,000",3.5
 on 04/25/08 20:12 PM (PDT),JR ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Hot Wagon, An excellent choice if you want stunning performance with functionality. I've owned many sporty cars but never one that I could load a full family and all luggage in with ease! The Magnum also has the looks to turn heads.,4.875
 on 04/06/08 09:04 AM (PDT),Greg ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Stylish and flexible with lots of room," The SE is fun to drive, has wonderful racy styling and handles like a dream.  It corners flat and holds the road beautifully.  The 2.7 Liter engine is a little underpowered for the size of the vehicle, but considering it is such a small engine, I have no problem with available power.  I purchased the 2.7 specifically because I wanted a vehicle that affords good fuel economy, and it delivers that plus I like driving the Magnum.  I purchased the car in 2008 and am very happy with the value received.  I get a car that looks and feels like a new car and the 2 years depreciation (60% off new price) give me a real bargain.  I don't understand it but like getting such a great bargain!",4.625
 on 04/05/08 23:06 PM (PDT),ACM ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Fun and flexible.," I went from a 2006 Honda Odyssey (3 steering racks in 20,000 miles was 3 too many) to the RT. The cargo volume is not quite that of the van but it is good. Four guys and golf bags are handled with ease. The gas mileage to date (5500 miles) is one mile to the gallon worse than the Honda. The fun to drive factor is approximately 8.5 out of 10. If you have to drive a wagon this is the one that will make you smile. I can only imagine how much fun the SRT8 must be to drive. I am already planning some tweaks to the engine and suspension because the chassis is just so good that it begs for more power and better spring rates. This really is a great platform, hats off to the engineers at Dodge",4.125
 on 03/19/08 07:14 AM (PDT),simplijm ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Still lovin' it!," I bought my 06' to replace my aging Durango and from day one it was a great choice.  Even though I did not get the AWD, it still rocks in any weather, with the addition of Blizzaks for the winter. I'm 6'4"" and it is really comfortable, plus with two car seats in the back, the kids have enough room too. I put the whole family in and we go looking fo twisty turny roads to play on.  With the autostick, I can run that car pretty hard and it just keeps asking for more.  Cruises really nicely for the 25 mile each way commute, but gotta keep an eye on it. I tend to enjoy driving and sometimes look down and see 80 when I'm just having fun.  Definitely a family car for dad to have fun in!",4.625
 on 03/13/08 20:04 PM (PDT),Tom's NYC Review ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Should have bought it sooner," I purchased this car used with only 80 miles on it and got a super deal, number 1. I was statisfied with the price, leather , styling, sunroof, and the space. Hope it would be as powerful as my 1970 Cutlass which I missed dearly, and holy cow it was. Not only was it peppy and powerful but I had all the safety and comfort of a car built today. And yes, it does get good gas mileage when driven nicely, which I personally cannot do! Wish I did not have to deal with all the lovely traffic of NYC, then I can really open it up ",4.5
 on 02/08/08 10:53 AM (PST),Dodge Owner ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Great Car! No Regrets!," This is the best car we have ever owned. Powerful engine, quiet ride, sleek styling.  Love the leather, heated seats, sunroof, and AWD!  ",4.875
 on 01/22/08 14:36 PM (PST),lovethiscar ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),What a Car!," Traded my Civic for this (too small) knowing that I would be giving up my great fuel economy and it was worth it! Tons of room, a blast to drive. Took it 3000 mi. to Florida and back and it drove like a dream. 23 MPG HWY  and 17 City. Came back to a blizzard and this car is a tank! Worried about the RWD but it goes through snow like butter. Trying to keep my foot light on the gas to improve fuel economy but it's so hard! Even my husband and kids love it!",5
 on 01/20/08 09:32 AM (PST),magnum ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Rate this vehicle," The best all around vehicle I've ever owned. Sporty, family fun, looks great inside and out. Rides, drives like I said all around. ",4.875
 on 01/06/08 13:02 PM (PST),William Miller ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),SRT8 Power House," I first owned a 2005 SXT Magnum, black w/tinted windows and 17"" alloy rims, I loved that car. My daughter said it looked like a hearse. It could have been an instant muscle car but the 3.5 L V6 just didn't have it.I mean the 3.5 is a great motor just not the Horse power I wanted. So I bought a 2006 SRT8 w/ the 6.1 L Hemi. Wow! It's balck just like the one before and a whole lot faster. The power is almost unbelivable between the two. I miss the all leather seats and moon roof the SXT had. The 20"" rims make for a little more bumpy ride but the handling is superior. Lots of power and good looks!It's what I wanted when I bought my first Magnum.",4.25
 on 11/09/07 10:16 AM (PST),Cass ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Never Thought I'd Love This Car," When my husband traded my PT Cruiser for a one year old Dodge Magnum, I was a little skeptical about the choice because it was so much larger than the Cruiser.  Was I pleasantly surprised!  I love this car; it is so comfortable, so easy to handle, and comes in handy on Fridays when I take friends to lunch.  The ability to manuever the car is superior, I can back up easily into a parking space and it's great for hauling everything from the dogs to bags of mulch to groceries.  ",4.875
 on 11/02/07 20:02 PM (PDT),Dan Tutas ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),Sleeper Wagon ," I have had a lot of performance cars in my life and this is one of the best. It is very useful as you can carry other people or use it to go to the hardware store. It is fast and fun to drive on top of that. It handles very good and rides really nice on the highway.  I had the RT before my SRT8 and both of these cars are real nice. It reminds me of my younger days in the 60's when a lot of people had ""sleeper wagons."" It runs with most cars on the street and yet gets great gas mileage.  425 HP and I am averaging between 19 and 21 MPG.  Depends on how many times you put your foot into it. How can you beat that?  I sure wish it had a 6-speed stick though, see my comment below.",5
 on 09/24/07 21:42 PM (PDT),DE ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),2006 Dodge Magnum SE 2.7L 4CYL," I had this car for 6 months now and have had no problems at all. It runs and drives great. I would like to see a little more power but that is my fault for buying the one with the small engine, (for gas mileage reasons), and it does get excellent fuel mileage.",4.25
 on 08/21/07 22:47 PM (PDT),Paul Rodriguez  ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Magnum SXT R/T," One off the best cars I've owned, the speed and control is better then my past sports cars, with better gas mileage too. Wow what a car!",4.875
 on 07/28/07 12:46 PM (PDT),vjklander ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Best car I ever bought," My wife and I looked around for a new car and came down to the Chrysler A300, Dodge Charger, and the Dodge Magnum. When we saw the all-black Magnum we just loved the styling and found the rear cargo space desirable since we often need to take her parents to doctor's appointments and the wheelchair fits easily. ",5
 on 06/28/07 19:22 PM (PDT),Moose ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),'06 Magnum," I looked at many vehicles over 6 months before deciding on the Magnum. I have had it now for a 1 1/2 years and am very pleased. I have 4 kids and can fit them all in and still have space in the back. The car drives very well and has great brakes although I would recommend ABS. I got the 2.7L v6 for the gas mileage. It does not have alot of power but I do get 20 mpg in the city. I have not taken it on any long trips so I don't know the highway mpg. For around town the car is perfect, it looks great, handles well, gets good mpg, is very comfortable (I am 6'3) and can take 5 adults plus stuff in the back. We had a Dodge Polaris wagon growing up, there is no comparison!",4.625
 on 06/19/07 14:33 PM (PDT),Jellobrand ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Got to Believe ! - That Dad's Wagon ? ," The car is a car, a truck, a wagon, a SUV. But inside the heart and soul is a sports car trapped in a wagon's body! ",4.875
 on 06/09/07 22:03 PM (PDT),Phil ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),'06 Magnum, My SXT AWD is the most fun auto I've ever owned. It has head-turning style and a performance package that allows the car to be a king on the road. ,4.5
 on 06/02/07 15:31 PM (PDT),Karen ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),My Magnum Rocks!," I sell Dodge/Chrysler/Jeep products, and have been looking closely at the 300, Charger and Magnum for some time. Comparing all things equally, my Magnum fits my kids and their stuff (hockey, lacrosse, football and all other equipment), and my golf clubs and my hubby's. It has the hot looks of a sexy sportscar, but has the capability of a family sedan. I feel great driving this amazing vehicle, and working as a Sales and Leasing Consultant, I get to drive dozens and dozens of vehicles and models all the time! I love my leather interior, sunroof, autostick and Boston Acoustics stereo for when I want to crank it up!",5
 on 05/14/07 13:54 PM (PDT),Leslie ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Fast and Fun," All in all I will have to say this is my all time favorite car! Love the power! No more waiting to get out in traffic. Plenty of cargo space and seats are very comfy. The only downside is that it is so peppy that we can't seem to keep our foot off of the gas! We were sold from the test drive on this car. If you're going to get one, get the Hemi! It is well worth it!",4.75
 on 04/27/07 07:07 AM (PDT),HammerMaster ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Top Notch," The Mercedes Benz based 4-matic is amazing. I will never drive another car without it. Wet weather traction like i have never seen before. All this on top of 340HP! Styling speaks for itself. Love it or hate it. Interior is huge. Turning radius is great for such a huge car. Speed, well there are cars that are faster but I dare them to do it in such a good looking car or loaded up with 5 people and groceries and still have power. Eat that import lovers. My only minor want is at $34k why could I not get the auto turning mirrors when the car is off like its German cousin. All together, I don't think you could get all the things this car offers from anyone else at the price its offered.",4.625
 on 02/19/07 21:01 PM (PST),Dave ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),50000 and going," 16 months and over 55,000 miles, what you have is the very good, and the very bad. First the good, power, space for my big frame 6'3"", 280lbs, and lots of boxes. Nice, but not overwhelming interior, nav, heated seats, adjustable pedals, all the good stuff. Now the bad, horrible dealer service, makes me want to go back to Toyotas, and Hondas. Priced the 60,000 service one dealer wanted $850.00, another wanted $470.00. I've had a thumping noise in the right front since 21,000 miles, been to the dealer 4 times they can't find it.Serveral rattles, in the dash, and hatch. I will not buy another Dodge simply because of the dealer service.",4.125
 on 02/05/07 22:36 PM (PST),NICK PROSCIA ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),SRT-8 Automotive Art," I first saw the SRT-8 at the International car show when it was just a concept. At the time, I told my wife that if they build it I want it. I first test drove it July of 2006 and fell in love. I have been a GM person my whole life, but things were about to change. I have owned 24 cars from classic Impalas, Corvettes, Camaros and list goes on. I actually traded a 1996 Impala SS for the SRT-8. There is nothing bad at all to say about this car. Styling, comfort, and oh yeah, performance like you never had. I can carry my family of five around, or pick up a TV and still lay rubber like I was in a sports car. Cold air induction and a catback exhaust is now on order. Can never have too much power.",4.875
 on 01/10/07 17:19 PM (PST),Rollin ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Nice Wagon," Black metallic with blacked out windows looks cool.  Nice bark from the 3.5L V-6 (don't bother with the 2.7 rental car engine, get the 3.5 or the V8 Hemi). Excellent highway handling. Great seating even in mid grade SXT. Quiet. Solid feeling construction. Cool interior. ",4.75
 on 11/22/06 09:39 AM (PST),nocruelty ,2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"Comfortable, great ride, nice handling"," This is a company car for us.  The 2.7 liter engine provides merely adequate performance from a stop and at speed, and I'd recommend one of the larger engines.  The legroom is excellent for front and back passengers.  The headroom is very good.  The telescoping steering wheel is extremely helpful and complements the power driver's seat to find an ideal driving position relative to the fixed position pedals.  The ride is excellent.  Cornering feels solid and not as though it's a 4000 pound vehicle.  Rear cargo space is limited, unless folding the rear seats.  We've needed to use the optional roof rack during trips.  Coupled with a bigger engine, this is a very fun, comfortable car.",4.25
 on 11/16/06 13:05 PM (PST),javaguyinaz ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),Awesome car Dad!," I have only had it 4 weeks, and I love the car. I have been approached twice asking about the car. I bought the car used, saved myself $4K. I will not miss my Surburban. My 8 yr old will only go with Dad, forget about the minivan.",4.875
 on 11/11/06 13:07 PM (PST),robbo68 ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),2006 Magnum from Ontario, I am a lifelong Dodge fan. From the Dodge Dspen to Dakota now to the Magnum I am very impressed witht the structure of the whole car. I believe they spent time on this and made it right. Spacious in design with a whole lot of sport.,5
 on 11/07/06 07:49 AM (PST),Ken ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Why purchase a Subaru," Wow. I am a '60's child. What an increase in quality, driveability, utility, and performance. Commute 70 miles one way to work. I am much fresher upon arrival than I was driving an "" all wheel drive import"". Exceptionaly quiet, solid. I have had the vehicle four months and have put 18k miles on the clock. ",4.875
 on 11/05/06 08:28 AM (PST),SXT2WD_Guy ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),SXT 2WD 2006 3.5 250hp V6," I have just purchased this car recently and took a trip of about 1000kl/600mi. loved the way the car handled and comfort was very good. Fuel mileage was above my expectation as I averaged 39.84 mpg hwy and 34.32 city, very excited about that. 3.5 engine has lots of power and is all that is needed in this wonderful wagon",4.75
 on 11/02/06 08:16 AM (PST),hemibp ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),What a machine!," While I have only put 1500 miles on this Hemi-powered rocket, I was impressed from the first moment of a test drive.  I was attracted to it by the syling and Hemi power.  I read a lot of reviews on the Magnum and researched every bit of material that I could find.  When I finally decided to buy it, I never regretted my decision.  This car handles like a sports car with the Mercedes suspension.  The car is bearly broken in so the only issue I have is with the city mileage.  The first tank was all local driving (NYC) and I got 12 mpg.  I have to be careful getting on the highway because you are up to 85 mph before you know it. Great stereo and plenty of room. People are impressed with this one.",4.875
